,Model,Fold,Prototypes,Dataset,test_RSq,test_Err10,test_SEP
0,RBFNetwork,0,5,WineQuality,0.7762971306754367,0.9593750238418579,0.033725911539375195
1,RLVQ,0,5,WineQuality,0.5133487440388166,0.715624988079071,3.5536261261040947
2,RegNG,0,5,WineQuality,0.7077633478866234,0.9281250238418579,0.03553269725323861
3,RegSeNG,0,5,WineQuality,0.7094371031008555,0.9468749761581421,0.036945399899485795
4,NGTSP,0,5,WineQuality,0.5698577849911439,0.824999988079071,0.056103073141100225
5,RNGTSP,0,5,WineQuality,0.7516468281588041,0.9437500238418579,0.03165559722253305
6,RBFNetwork,1,5,WineQuality,0.7225586521888181,0.9437500238418579,0.03593267323976403
7,RLVQ,1,5,WineQuality,0.48299269655439864,0.737500011920929,2.547826221778305
8,RegNG,1,5,WineQuality,0.6839280163551077,0.9281250238418579,0.03406367471208013
9,RegSeNG,1,5,WineQuality,0.6363838598395496,0.918749988079071,0.040459339487707364
10,NGTSP,1,5,WineQuality,0.4384385761331046,0.828125,0.06188046986079071
11,RNGTSP,1,5,WineQuality,0.7092518401751445,0.953125,0.03620965665833992
12,RBFNetwork,2,5,WineQuality,0.706096511436406,0.9312499761581421,0.037144395787441026
13,RLVQ,2,5,WineQuality,0.41268149332975296,0.75,2.5971233513265606
14,RegNG,2,5,WineQuality,0.6840316698134437,0.9281250238418579,0.03805012601511924
15,RegSeNG,2,5,WineQuality,0.693877441074459,0.9375,0.03860976439662405
16,NGTSP,2,5,WineQuality,0.441586902122738,0.846875011920929,0.06322801567948648
17,RNGTSP,2,5,WineQuality,0.6953007786790962,0.934374988079071,0.03904503274066114
18,RBFNetwork,3,5,WineQuality,0.6701160983711006,0.9312499761581421,0.03768349336819283
19,RLVQ,3,5,WineQuality,0.3808889151973636,0.75,2.8844278997779185
20,RegNG,3,5,WineQuality,0.6098904045919096,0.9281250238418579,0.03956454938414186
21,RegSeNG,3,5,WineQuality,0.6096599471059942,0.9156249761581421,0.03933958172689494
22,NGTSP,3,5,WineQuality,0.409508539551047,0.8374999761581421,0.06511240852628764
23,RNGTSP,3,5,WineQuality,0.5677069788716328,0.9125000238418579,0.04428431195920333
24,RBFNetwork,4,5,WineQuality,0.7248036893616261,0.9059560894966125,0.043523974839675295
25,RLVQ,4,5,WineQuality,0.34464292018529546,0.7210031151771545,4.681425002503647
26,RegNG,4,5,WineQuality,0.6826687716281435,0.9028213024139404,0.0382928523933545
27,RegSeNG,4,5,WineQuality,0.7025393553335341,0.9090909361839294,0.038580014629628644
28,NGTSP,4,5,WineQuality,0.4539408532711612,0.7931034564971924,0.06766741301418239
29,RNGTSP,4,5,WineQuality,0.7238326631608292,0.92476487159729,0.03701378303935959
30,RBFNetwork,0,10,WineQuality,0.7980387297135819,0.965624988079071,0.030854118884624658
31,RLVQ,0,10,WineQuality,0.509432116783419,0.6937500238418579,4.092366100251352
32,RegNG,0,10,WineQuality,0.7137965946441206,0.9437500238418579,0.033321977367463666
33,RegSeNG,0,10,WineQuality,0.6892204059912158,0.9437500238418579,0.03918017770294544
34,NGTSP,0,10,WineQuality,0.6196937501013255,0.8531249761581421,0.049628386551786856
35,RNGTSP,0,10,WineQuality,0.7639198289580106,0.953125,0.029829693905788417
36,RBFNetwork,1,10,WineQuality,0.7433234373668998,0.953125,0.03393180195041295
37,RLVQ,1,10,WineQuality,0.5494054305750097,0.715624988079071,2.763386925907426
38,RegNG,1,10,WineQuality,0.7012033238661116,0.949999988079071,0.036433061737766684
39,RegSeNG,1,10,WineQuality,0.6948915391795049,0.9375,0.03732460721866736
40,NGTSP,1,10,WineQuality,0.47828805391991763,0.8374999761581421,0.051609624981235024
41,RNGTSP,1,10,WineQuality,0.7118353614024786,0.9375,0.033301418800584924
42,RBFNetwork,2,10,WineQuality,0.7530851124344267,0.956250011920929,0.03544180103196058
43,RLVQ,2,10,WineQuality,0.44720053462498405,0.7718750238418579,3.8092257564955636
44,RegNG,2,10,WineQuality,0.704191716296816,0.9375,0.0412014204765561
45,RegSeNG,2,10,WineQuality,0.6678219355801068,0.925000011920929,0.03918638991196764
46,NGTSP,2,10,WineQuality,0.46171165978380635,0.840624988079071,0.06515339278713662
