,,,test_RSq,test_RSq,test_RSq,test_SEP,test_SEP,test_SEP,test_Err10,test_Err10,test_Err10
,,,mean,std,max,mean,std,max,mean,std,max
Model,Prototypes,Dataset,,,,,,,,,
NGTSP,5,BreastCancer,0.8645,0.0377,0.9037,0.0678,0.0082,0.0753,0.8377,0.042,0.8974
NGTSP,5,CalHousing,0.3289,0.116,0.476,0.0382,0.0054,0.0442,0.1631,0.01,0.1751
NGTSP,5,Diabetes,0.4107,0.0799,0.4926,0.1331,0.0102,0.1433,0.1697,0.0265,0.1932
NGTSP,5,WineQuality,0.4627,0.0621,0.5699,0.0628,0.0043,0.0677,0.8261,0.0203,0.8469
NGTSP,10,BreastCancer,0.8369,0.0556,0.8934,0.0619,0.0106,0.0743,0.8526,0.0616,0.9231
NGTSP,10,CalHousing,0.569,0.0308,0.6037,0.014,0.0017,0.0162,0.2258,0.0109,0.2415
NGTSP,10,Diabetes,0.49,0.0723,0.5543,0.1127,0.0141,0.1338,0.2127,0.0195,0.2273
NGTSP,10,WineQuality,0.5045,0.065,0.6197,0.0612,0.0109,0.0763,0.8361,0.0253,0.8562
NGTSP,15,BreastCancer,0.7513,0.2185,0.8844,0.0749,0.0382,0.1426,0.7917,0.0952,0.9231
NGTSP,15,CalHousing,0.6107,0.0179,0.6365,0.0127,0.0004,0.0132,0.2401,0.0061,0.2488
NGTSP,15,Diabetes,0.4574,0.0629,0.5355,0.11,0.0124,0.1283,0.2128,0.0465,0.2472
NGTSP,15,WineQuality,0.5576,0.0429,0.6123,0.0539,0.0071,0.0655,0.8681,0.0131,0.8809
RBFNetwork,5,BreastCancer,0.9675,0.0158,0.9877,0.0312,0.0091,0.0401,0.9695,0.0212,1.0
RBFNetwork,5,CalHousing,0.6376,0.0112,0.6526,0.0122,0.0004,0.0129,0.2533,0.0054,0.2621
RBFNetwork,5,Diabetes,0.5086,0.0551,0.5563,0.1016,0.0153,0.1271,0.2039,0.0603,0.2727
RBFNetwork,5,WineQuality,0.72,0.0383,0.7763,0.0376,0.0036,0.0435,0.9343,0.0196,0.9594
RBFNetwork,10,BreastCancer,0.9729,0.0198,0.9881,0.027,0.0094,0.0432,0.9897,0.0229,1.0
